year,precipitation,rain,snowfall
1950,0.004166666666666667,0.004166666666666667,0.0
1951,0.05416666666666667,0.05416666666666667,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.07916666666666666,0.07916666666666666,0.0
1955,0.024999999999999998,0.024999999999999998,0.0
1956,0.0,0.0,0.0
1957,0.025000000000000005,0.025000000000000005,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.075,0.075,0.0
1961,0.004166666666666667,0.004166666666666667,0.0
1962,0.0,0.0,0.0
1963,0.029166666666666664,0.029166666666666664,0.0
1964,0.0,0.0,0.0
1965,0.004166666666666667,0.004166666666666667,0.0
1966,0.0,0.0,0.0
1967,0.09999999999999999,0.09999999999999999,0.0
1968,0.1708333333333333,0.1708333333333333,0.0
1969,0.008333333333333333,0.008333333333333333,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.6375000000000001,0.6375000000000001,0.0
1973,0.17916666666666667,0.17916666666666667,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.45,0.45,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.075,0.075,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.008333333333333333,0.008333333333333333,0.0
1989,0.08749999999999998,0.08749999999999998,0.0
1990,0.07083333333333333,0.07083333333333333,0.0
1991,0.012500000000000002,0.012500000000000002,0.0
1992,0.05000000000000001,0.05000000000000001,0.0
1993,0.0,0.0,0.0
1994,0.8333333333333334,0.8333333333333334,0.0
1995,0.1625,0.1625,0.0
1996,0.0,0.0,0.0
1997,0.0,0.0,0.0
1998,0.004166666666666667,0.004166666666666667,0.0
1999,0.0,0.0,0.0
2000,0.0,0.0,0.0
2001,0.14583333333333334,0.14583333333333334,0.0
2002,0.0,0.0,0.0
2003,0.0,0.0,0.0
2004,0.0,0.0,0.0
2005,0.5958333333333333,0.5958333333333333,0.0
2006,0.0,0.0,0.0
2007,0.0,0.0,0.0
2008,0.1375,0.1375,0.0
2009,0.0,0.0,0.0
2010,0.004166666666666667,0.004166666666666667,0.0
2011,0.0,0.0,0.0
2012,0.0,0.0,0.0
2013,0.0,0.0,0.0
2014,0.0,0.0,0.0
2015,0.0,0.0,0.0
2016,0.0,0.0,0.0
2017,0.0,0.0,0.0
2018,0.012500000000000002,0.012500000000000002,0.0
2019,0.5583333333333333,0.5583333333333333,0.0
2020,0.1125,0.1125,0.0
2021,0.03333333333333333,0.03333333333333333,0.0
2022,0.0,0.0,0.0
2023,0.012500000000000002,0.012500000000000002,0.0
2024,0.0,0.0,0.0
