year,precipitation,rain,snowfall
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.3958333333333333,0.3958333333333333,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,1.0416666666666667,1.0416666666666667,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.012500000000000002,0.012500000000000002,0.0
1960,0.0,0.0,0.0
1961,0.025000000000000005,0.025000000000000005,0.0
1962,0.0,0.0,0.0
1963,0.9,0.9,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,1.375,1.375,0.0
1968,0.0,0.0,0.0
1969,0.06666666666666667,0.06666666666666667,0.0
1970,0.0,0.0,0.0
1971,0.004166666666666667,0.004166666666666667,0.0
1972,0.02916666666666667,0.02916666666666667,0.0
1973,0.0,0.0,0.0
1974,0.029166666666666664,0.029166666666666664,0.0
1975,0.5750000000000001,0.5750000000000001,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,1.9333333333333333,1.9333333333333333,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.06666666666666667,0.06666666666666667,0.0
1989,0.0,0.0,0.0
1990,0.049999999999999996,0.049999999999999996,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.18333333333333335,0.18333333333333335,0.0
1994,0.0,0.0,0.0
1995,1.2666666666666668,1.2666666666666668,0.0
1996,0.0,0.0,0.0
1997,0.35000000000000003,0.35000000000000003,0.0
1998,0.3333333333333333,0.3333333333333333,0.0
1999,0.0,0.0,0.0
2000,0.004166666666666667,0.004166666666666667,0.0
2001,0.0,0.0,0.0
2002,0.004166666666666667,0.004166666666666667,0.0
2003,0.004166666666666667,0.004166666666666667,0.0
2004,0.0,0.0,0.0
2005,0.3166666666666667,0.3166666666666667,0.0
2006,0.0,0.0,0.0
2007,0.0,0.0,0.0
2008,0.2625,0.2625,0.0
2009,0.0,0.0,0.0
2010,0.9833333333333334,0.9833333333333334,0.0
2011,0.0,0.0,0.0
2012,0.0,0.0,0.0
2013,0.016666666666666666,0.016666666666666666,0.0
2014,0.0,0.0,0.0
2015,0.0,0.0,0.0
2016,0.0,0.0,0.0
2017,0.15416666666666667,0.15416666666666667,0.0
2018,0.25833333333333336,0.25833333333333336,0.0
2019,0.11666666666666665,0.11666666666666665,0.0
2020,1.1875,1.1875,0.0
2021,0.0,0.0,0.0
2022,1.0666666666666667,1.0666666666666667,0.0
2023,0.0,0.0,0.0
2024,0.04583333333333334,0.04583333333333334,0.0
