year,precipitation,rain,snowfall
1950,0.075,0.075,0.0
1951,0.08333333333333333,0.08333333333333333,0.0
1952,0.020833333333333332,0.020833333333333332,0.0
1953,0.09583333333333334,0.09583333333333334,0.0
1954,0.8791666666666668,0.8791666666666668,0.0
1955,0.22499999999999998,0.22499999999999998,0.0
1956,0.19166666666666665,0.19166666666666665,0.0
1957,0.49583333333333335,0.49583333333333335,0.0
1958,0.020833333333333332,0.020833333333333332,0.0
1959,0.325,0.325,0.0
1960,0.5625,0.5625,0.0
1961,0.0,0.0,0.0
1962,0.43333333333333335,0.43333333333333335,0.0
1963,0.19999999999999998,0.19999999999999998,0.0
1964,0.025000000000000005,0.025000000000000005,0.0
1965,0.10833333333333334,0.10833333333333334,0.0
1966,0.14583333333333334,0.14583333333333334,0.0
1967,0.0375,0.0375,0.0
1968,0.004166666666666667,0.004166666666666667,0.0
1969,0.4083333333333334,0.4083333333333334,0.0
1970,0.07083333333333335,0.07083333333333335,0.0
1971,0.0,0.0,0.0
1972,0.15833333333333335,0.15833333333333335,0.0
1973,0.0,0.0,0.0
1974,0.09583333333333333,0.09583333333333333,0.0
1975,0.0625,0.0625,0.0
1976,0.004166666666666667,0.004166666666666667,0.0
1977,0.041666666666666664,0.041666666666666664,0.0
1978,0.0,0.0,0.0
1979,1.1375,1.1375,0.0
1980,0.3666666666666667,0.3666666666666667,0.0
1981,0.44166666666666665,0.44166666666666665,0.0
1982,0.025000000000000005,0.025000000000000005,0.0
1983,0.0,0.0,0.0
1984,0.012499999999999999,0.012499999999999999,0.0
1985,0.0,0.0,0.0
1986,0.008333333333333333,0.008333333333333333,0.0
1987,0.7291666666666666,0.7291666666666666,0.0
1988,0.0,0.0,0.0
1989,0.8916666666666666,0.8916666666666666,0.0
1990,0.2125,0.2125,0.0
1991,0.5041666666666667,0.5041666666666667,0.0
1992,0.1125,0.1125,0.0
1993,0.0,0.0,0.0
1994,0.2625,0.2625,0.0
1995,0.012499999999999999,0.012499999999999999,0.0
1996,0.0,0.0,0.0
1997,0.0,0.0,0.0
1998,0.08333333333333333,0.08333333333333333,0.0
1999,1.3708333333333333,1.3708333333333333,0.0
2000,0.0,0.0,0.0
2001,0.008333333333333333,0.008333333333333333,0.0
2002,0.0,0.0,0.0
2003,0.0,0.0,0.0
2004,0.0,0.0,0.0
2005,0.1375,0.1375,0.0
2006,0.0,0.0,0.0
2007,0.3875,0.3875,0.0
2008,0.012500000000000002,0.012500000000000002,0.0
2009,0.575,0.575,0.0
2010,0.10000000000000002,0.10000000000000002,0.0
2011,0.0,0.0,0.0
2012,1.6541666666666668,1.6541666666666668,0.0
2013,0.0,0.0,0.0
2014,0.05833333333333334,0.05833333333333334,0.0
2015,0.7208333333333333,0.7208333333333333,0.0
2016,1.3708333333333333,1.3708333333333333,0.0
2017,0.3166666666666667,0.3166666666666667,0.0
2018,0.05833333333333334,0.05833333333333334,0.0
2019,0.09999999999999999,0.09999999999999999,0.0
2020,0.004166666666666667,0.004166666666666667,0.0
2021,0.020833333333333332,0.020833333333333332,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.016666666666666666,0.016666666666666666,0.0
